OBJECTID,ZONEID,Zone,Contract Rezone Number,Ordinance Number,Effective Date,Historic District Overlay,Pedestrian Overlay,Shoreline Overlay,Other District Overlay,Station Area Overlay,Mandatory Housing Affordability Apply (Y/N),Incentive Zoning Apply (Y/N),Mandatory Housing Affordability Tier,Major Institution Name,Class,Category,Detail Code,Detail,Group,Zoning Description,Base Zone,Previous Zone,Previous Contract Rezone Number,Previous Ordinance Number,Previous Effective Date,Previous Historic District Overlay,Previous Pedestrian Overlay,Previous Shoreline Overlay,Previous Other District Overlay,Previous Station Area Overlay,Class Description Popup,Land Use Code Chapter,Land Use Code Chapter Link,Zoning History
1881,7072,NR3, ,126509,6/15/2022 12:00:00 AM, , ,UR, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR3,Residential Neighborhood 3,Neighborhood Residential 3,Neighborhood Residential 3,NR3,SF 5000, ,0,, , ,UR, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR3,ORD126509,06/15/2022    SF 5000,05/01/1994"
1882,7073,NR3, ,126509,6/15/2022 12:00:00 AM, , ,UR, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR3,Residential Neighborhood 3,Neighborhood Residential 3,Neighborhood Residential 3,NR3,SF 5000, ,0,, , ,UR, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR3,ORD126509,06/15/2022    SF 5000,05/01/1994"
1883,7074,NR3, ,126509,6/15/2022 12:00:00 AM, , ,UR, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR3,Residential Neighborhood 3,Neighborhood Residential 3,Neighborhood Residential 3,NR3,SF 5000, ,0,, , ,UR, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR3,ORD126509,06/15/2022    SF 5000,05/01/1994"
1884,7075,NR3, ,126509,6/15/2022 12:00:00 AM, , ,UR, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR3,Residential Neighborhood 3,Neighborhood Residential 3,Neighborhood Residential 3,NR3,SF 5000, ,0,, , ,UR, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR3,ORD126509,06/15/2022    SF 5000,05/01/1994"
1885,7076,NR3-PUD,CF290015,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR3,Residential Neighborhood 3,Neighborhood Residential 3,Neighborhood Residential 3-Planned Unit Development,NR3-PUD,SF 5000-PUD,CF290015,109793,4/29/1981 12:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR3-PUD,CF290015,ORD126509,06/15/2022    SF 5000-PUD,CF290015,ORD109793,04/29/198105/01/1994"
1886,7077,NR2, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1887,7103,NR2, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1888,7088,NR2, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1889,7089,NR2, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1890,7092,NR2, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1891,7090,NR2, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1892,7091,NR2, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1893,7093,NR2, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1894,7094,NR2, ,126509,6/15/2022 12:00:00 AM, , , ,NG, ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , , ,NG, ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1895,7095,NR2, ,126509,6/15/2022 12:00:00 AM, , , ,NG, ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , , ,NG, ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1896,7096,NR2, ,126509,6/15/2022 12:00:00 AM, , ,CM, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , ,CM, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1897,7097,NR2, ,126509,6/15/2022 12:00:00 AM, , ,CM, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , ,CM, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1898,7098,NR2, ,126509,6/15/2022 12:00:00 AM, , ,CM, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , ,CM, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1899,7099,NR2, ,126509,6/15/2022 12:00:00 AM, , ,CM, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , ,CM, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1900,7100,NR2, ,126509,6/15/2022 12:00:00 AM, , ,CM, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , ,CM, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1901,7101,NR2, ,126509,6/15/2022 12:00:00 AM, , ,CM, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , ,CM, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1902,7102,NR2, ,126509,6/15/2022 12:00:00 AM, , ,CN, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , ,CN, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1903,7112,NR2, ,126509,6/15/2022 12:00:00 AM, , ,CP, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , ,CP, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1904,7104,NR2, ,126509,6/15/2022 12:00:00 AM, , ,CP, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , ,CP, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
